Numéro de l'amendement,Partie de l'amendement,Sort de l'amendement,Désignation de l'article,Délibération,Auteur,Cosignataire(s),Instance,Etape du texte,URL Amendement,URL Amendement format XML,Dispositif,Exposé sommaire
CD522,,Retiré,Article 14,Première délibération,Riotton Véronique,"  Mme Piron, Mme Violland, Mme Vignon, M. Cormier-Bouligeon, M. Becht, M. Causse, Mme Givernet, Mme Lalanne, M. Larrouquis, Mme Lubet, Mme Panonacle et M. Rousset",Développement durable,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-DVP/CD522,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419865B2632P0D1N000522.xml,"À la dernière phrase de l’alinéa 4, après le mot : « équins »,insérer les mots :« ainsi que des ovins et des caprins dont les troupeaux pâturent dans des zones de montagne présentant une forte déclivité ou une configuration rendant la mise en œuvre de moyens de protection inopérante ou dangereuse ».","On constate que la présence et la prédation des troupeaux augmente dans certains territoires en France. Les moyens de protection classiques (clôtures, filets, parcage) ne sont pas toujours adaptés notamment en zones de montagne ou sur des terrains escarpés ou difficiles d’accès.  Ces zones dans lesquelles pâturent des troupeaux sont reconnues administrativement comme des « zones non protégeables »Aujourd’hui pour les bovins et les équins, le PJL reconnaît qu’il est souvent impossible de mettre en place les protections classiques. Le présent amendement va plus loin en introduisant implicitement la notion de « zone de non-protégeabilité » pour les ovins et caprins des zones de montagne. Cela permet de défendre l’agropastoralisme et nos éleveurs d’ovins et caprins en montagne.)"
CD523,,Tombé,Article 14,Première délibération,Riotton Véronique,"  Mme Piron, Mme Violland, Mme Vignon, M. Cormier-Bouligeon, M. Becht, M. Causse, Mme Givernet, M. Larrouquis, Mme Lubet, Mme Panonacle et M. Rousset",Développement durable,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-DVP/CD523,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419865B2632P0D1N000523.xml,"À l’alinéa 5, après le mot :« et »,insérer les mots :« réparti par département en fonction de l’estimation de la population lupine et de la pression de prédation constatée lors des campagnes précédentes, ».","Aujourd’hui, l’État fixe un quota national de loups pouvant être abattus chaque année. Ce quota est utilisé librement sur le territoire : il n’y a pas de répartition par zone. Une fois le plafond atteint, on arrête tous les tirs, même dans les territoires encore très touchés. Le dispositif proposé par l'amendement change deux choses :-   Une répartition territoriale des quotas : le quota national serait divisé en « sous-quotas par département » en fonction du nombre de loups présents localement et du niveau de prédation-   Une partie du quota ne serait pas attribuée toute de suite. Elle serait gardée en réserve nationale, mobilisable en cours d’année.Concrètement, les départements les plus touchés pourraient prélever davantage de loups au lieu d’être bloqués par un quota national déjà consommé ailleurs. Cela permet donc de réagir rapidement et efficacement en cas de hausse soudaine des attaques dans un territoire touché. "
CD53,,Retiré,Article 14,Première délibération,Rousset Jean-François,"  Mme Pantel, Mme Froger, M. Vallaud, M. Fesneau, M. Peu, Mme Le Feur, M. Hollande, M. Roseren, M. Potier, M. Bony, M. Philippe Brun, Mme Rossi, Mme Allemand, M. Aviragnet, Mme Battistel, M. Bazin, M. Benoit, Mme Bergantz, M. Bonnecarrère, Mme Sylvie Bonnet, Mme Bonnivard, M. Bothorel, M. Bouyx, M. Brard, M. Brigand, M. Brugerolles, Mme Brulebois, M. Fabrice Brun, M. Buchou, Mme Buffet, M. Jean-René Cazeneuve, M. Ceccoli, M. Cormier-Bouligeon, M. Criaud, M. Croizier, Mme Corneloup, M. Daubié, M. David, M. Delautrette, Mme Delpech, Mme Dombre Coste, Mme Dubré-Chirat, M. Dufau, M. Echaniz, M. Fait, M. Fégné, M. Fugit, Mme Got, Mme Perrine Goulet, M. Guedj, Mme Herouin-Léautey, M. Houlié, M. Huyghe, M. Jacques, Mme Klinkert, M. Lauzzana, M. Lecamp, Mme Létard, Mme Le Peih, M. Liégeon, Mme Lingemann, Mme Marsaud, M. Maurel, M. Marion, M. Masséglia, M. Mattei, M. Molac, M. Mongardien, M. Naegelen, M. Oberti, M. Ott, M. Padey, Mme Pirès Beaune, M. Proença, M. Ramos, M. Ray, Mme Riotton, Mme Ronceret, Mme Rouaux, Mme Santiago, M. Saulignac, M. Sorre, M. Taite, M. Taupiac, M. Terlier, Mme Thiébault-Martinez, Mme Thomin, M. Travert, M. Vermorel-Marques, Mme Vidal, M. Jean-Pierre Vigier, M. Philippe Vigier, M. Viry, M. Vuibert et Mme Pochon",Développement durable,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-DVP/CD53,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419865B2632P0D1N000053.xml,"Après l’alinéa 11, insérer les deux alinéas suivants : « II bis. – Après l’article L. 427‑2 du code de l’environnement, il est inséré un article L. 427‑2‑1 ainsi rédigé :« Art. L. 427‑2-1. – Aucun licenciement, déclassement professionnel, ni aucune sanction disciplinaire ne peuvent être prononcés à l’encontre d’un salarié, d’un agent public ou d’un étudiant, en raison des absences résultant de l’application des articles L. 427‑2‑3 et L. 427‑2‑4. »"," Cet amendement, issu du travail transpartisan conduit dans le cadre de la proposition de loi visant à créer un statut pour les lieutenants de louveterie déposée le 24 juin 2025, avec l’appui des Ministères de l’Agriculture et de la Transition écologique, protège les lieutenants de louveterie contre toute sanction professionnelle liée à leur engagement, qu’ils soient salariés, agents publics ou étudiants. L'un des objectifs centraux de cette réforme statutaire est de garantir l'attractivité de la fonction, dans un contexte où les lieutenants de louveterie sont aujourd'hui insuffisamment nombreux pour faire face à la multiplication et à la diversification de leurs missions (régulation des espèces, protection des troupeaux, des forêts, sécurité routière, biodiversité, etc..).Par conséquent, il apparaît nécessaire d’élargir le vivier et permettre à des actifs d'accéder à cette fonction bénévole. Pour cela, il est donc indispensable de lever les obstacles pratiques liés à la compatibilité entre l'exercice professionnel et l'accomplissement des missions de louveterie. Dès lors, les absences liées au statut de bénévole ne doivent pas constituer des motifs de licenciement, déclassement professionnel ou sanction disciplinaire. C’est pourquoi cet amendement garantie une protection du lieutenant de louveterie dans le cadre de la convention signée avec son employeur et des autorisations d’absence convenues. Cette rédaction s’inspire du modèle proposé aux sapeurs-pompiers volontaires tel que précisé à l’article L. 723-16 du code de la sécurité intérieure.  "
CD54,,Adopté,Article 14,Première délibération,Rousset Jean-François,"  Mme Pantel, Mme Froger, M. Vallaud, M. Fesneau, M. Peu, Mme Le Feur, M. Hollande, M. Roseren, M. Potier, M. Bony, M. Philippe Brun, Mme Rossi, Mme Allemand, M. Aviragnet, Mme Battistel, M. Bazin, M. Benoit, Mme Bergantz, M. Bonnecarrère, Mme Sylvie Bonnet, Mme Bonnivard, M. Bothorel, M. Bouyx, M. Brard, M. Brigand, M. Brugerolles, Mme Brulebois, M. Fabrice Brun, M. Buchou, Mme Buffet, M. Jean-René Cazeneuve, M. Ceccoli, M. Cormier-Bouligeon, M. Criaud, M. Croizier, Mme Corneloup, M. Daubié, M. David, M. Delautrette, Mme Delpech, Mme Dombre Coste, Mme Dubré-Chirat, M. Dufau, M. Echaniz, M. Fait, M. Fégné, M. Fugit, Mme Got, Mme Perrine Goulet, M. Guedj, Mme Herouin-Léautey, M. Houlié, M. Huyghe, M. Jacques, Mme Klinkert, M. Lauzzana, M. Lecamp, Mme Létard, Mme Le Peih, M. Liégeon, Mme Lingemann, Mme Marsaud, M. Maurel, M. Marion, M. Masséglia, M. Mattei, M. Molac, M. Mongardien, M. Naegelen, M. Oberti, M. Ott, M. Padey, Mme Pirès Beaune, M. Proença, M. Ramos, M. Ray, Mme Riotton, Mme Ronceret, Mme Rouaux, Mme Santiago, M. Saulignac, M. Sorre, M. Taite, M. Taupiac, M. Terlier, Mme Thiébault-Martinez, Mme Thomin, M. Travert, M. Vermorel-Marques, Mme Vidal, M. Jean-Pierre Vigier, M. Philippe Vigier, M. Viry, M. Vuibert et Mme Pochon",Développement durable,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-DVP/CD54,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419865B2632P0D1N000054.xml,"Après l’alinéa 11, insérer les deux alinéas suivants : « II bis – Après l’article L. 427‑2‑2 du code de l’environnement, il est inséré un article L. 427‑2‑1 ainsi rédigé :« Art. L. 427-2-1. – Les lieutenants de louveterie peuvent conclure avec leur employeur une convention définissant les modalités de leur disponibilité pour les missions ordonnées par l’autorité administrative compétente. Cette convention veille à assurer la compatibilité de cette disponibilité avec les nécessités du fonctionnement de l’entreprise ou du service public ».","Cet amendement, issu du travail transpartisan conduit dans le cadre de la proposition de loi visant à créer un statut pour les lieutenants de louveterie déposée le 24 juin 2025, avec l’appui des Ministères de l’Agriculture et de la Transition écologique, permet la conclusion d’une convention de disponibilité avec l’employeur, garantissant la compatibilité entre engagement volontaire et activité professionnelle. Certains lieutenants de louveterie exercent leurs fonctions à titre bénévole et disposent, pour la plupart, d’une activité professionnelle par ailleurs. L’accomplissement des missions ordonnées par l’autorité administrative peut dès lors se trouver en tension avec les obligations liées à leur emploi, constituant un frein pratique à l’exercice de leurs fonctions.  Ce mécanisme conventionnel, souple et adapté à chaque situation, permet d’organiser la compatibilité entre les nécessités du fonctionnement de l’entreprise ou du service public et la disponibilité requise, tout en répondant à la recommandation n° 1 du rapport de l’Inspection générale de l’environnement et du développement durable (IGEDD) qui préconisait de faciliter l’aménagement du temps de travail des louvetiers en activité.  Cette approche retient la voie de conventions conclues au cas par cas, plutôt qu’un cadre national contraignant, afin de préserver la souplesse nécessaire à l’adaptation aux réalités de chaque situation professionnelle. Au-delà de son utilité pratique, cette disposition poursuit un objectif d’attractivité de la fonction, attirant ainsi des actifs, pour faire face à la multiplication et à la diversification des missions confiées aux lieutenants de louveterie. Cette rédaction s’inspire du modèle proposé aux sapeurs-pompiers volontaires tel que précisé à l’article L. 723-11 du code de la sécurité intérieure."
CD555,,Adopté,Article 14,Première délibération,Roseren Xavier rapporteur,,Développement durable,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-DVP/CD555,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419865B2632P0D1N000555.xml,"À la fin de la dernière phrase de l’alinéa 3, substituer au mot : « régulièrement »,le mot : « annuellement ».","Cet amendement vise à préciser que l’estimation de la population lupine en France est actualisée annuellement. L’estimation du nombre de loups est essentielle, car elle permet de déterminer le bon état de conservation de l’espèce et l’ensemble des mesures de gestion qui en découlent. Dès lors, il convient de disposer des données mises à jour et de préciser dans la loi la fréquence d’actualisation de cette estimation, qui est d’ores et déjà menée chaque hiver par l’OFB."
CD556,,Adopté,Article 14,Première délibération,Roseren Xavier rapporteur,,Développement durable,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-DVP/CD556,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419865B2632P0D1N000556.xml,"Après l’alinéa 4, insérer l’alinéa suivant : « L’arrêté précise les conditions dans lesquelles l’autorité administrative émet le récépissé de la déclaration de demande de tir de défense. À compter de la réception d’un dossier complet, ce délai ne peut excéder un jour ouvré. »","Cet amendement vise à renvoyer à la voie réglementaire les modalités d’instruction de la déclaration de demande de tir de défense que doit réaliser un éleveur confronté à la prédation lupine. L’amendement prévoit en outre que la récépissé de demande de tir, sans lequel les tirs de défense ne peuvent pas être réalisés, doit être envoyé au demandeur dans un délai d'un jour ouvré, à compter de la réception d’un dossier dûment rempli. "
CD557,,Retiré,Article 14,Première délibération,Roseren Xavier rapporteur,,Développement durable,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-DVP/CD557,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419865B2632P0D1N000557.xml,"Substituer à l’alinéa 5 les deux alinéas suivants : « L’arrêté définit le seuil de viabilité démographique du loup, permettant d’assurer son maintien dans un état de conservation favorable, sur le fondement de données scientifiques établies annuellement. L’arrêté détermine les conditions dans lesquelles la capture et la destruction de loups peuvent être réalisées aux seules fins de défense des troupeaux en assurant le respect du seuil de viabilité démographique de l’espèce. Les destructions ou captures effectivement réalisés sont déclarés auprès du représentant de l’État dans le département dans un délai déterminé par voie réglementaire afin d’établir une estimation du nombre de spécimens présents sur le territoire national. « L’arrêté détermine les conditions dans lesquelles l’autorité administrative encadre les mesures de capture et de tir afin de garantir le seuil de viabilité démographique. L’arrêté précise en particulier les modalités dans lesquelles l’autorité administrative peut restreindre ou suspendre les mesures de capture ou de tirs lorsque l’estimation du nombre de loups ne permet plus de garantir l’atteinte du seuil de viabilité démographique à la fin de l’année civile. »","Cet amendement vise à remplacer le nombre maximal de loups pouvant être détruits annuellement par la notion de seuil de viabilité démographique. Dans ces conditions, tout animal abattu devra être déclaré au préfet afin d’actualiser la population lupine et de s’assurer que l’effectif respecte le seuil de viabilité démographique. L’article prévoit que ce seuil est déterminé annuellement selon les données scientifiques disponibles. Pour prévenir la situation où le seuil ne serait pas atteint, le présent amendement prévoit que l’administration peut restreindre les captures et les tirs dès lors que le nombre de loups et le nombre des mesures de gestion ne permettent pas de s’assurer que le seuil sera atteint à la fin de l’année civile. En cas de doute sérieux sur la probabilité de respecter le seuil de viabilité démographique, l’amendement prévoit que l’administration peut suspendre toute mesure de capture ou de tir pour protéger l’espèce."
CD558,,Tombé,Article 14,Première délibération,Roseren Xavier rapporteur,,Développement durable,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-DVP/CD558,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419865B2632P0D1N000558.xml,"À l’alinéa 5, substituer au mot : « spécimens »le mot : « loups »",Amendement rédactionnel.
CD559,,Adopté,Article 14,Première délibération,Roseren Xavier rapporteur,,Développement durable,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-DVP/CD559,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419865B2632P0D1N000559.xml,"Après l’alinéa 5, insérer l’alinéa suivant : « L’arrêté précise les conditions dans lesquelles, lorsque le nombre maximal de loups pouvant être détruits est atteint avant la fin de l’année civile, et à la suite de dommages dus à la prédation constatés par le représentant de l’État dans le département, le préfet coordonnateur du plan national loup peut autoriser l’abattage de spécimens à titre dérogatoire, à l’échelle du département dans lequel ont été constatés les dommages et dans la limite d’un seuil assurant le maintien de l’espèce dans un état de conservation favorable. »","Cet amendement vise à inscrire dans la loi la possibilité de relever le nombre de loups pouvant être abattus si le nombre maximal de loups défini par l’arrêté est atteint avant la fin de l’année civile. La possibilité d’augmenter le seuil maximal de loups pouvant être abattus figure déjà dans l’arrêté du 23 février 2026. Cet amendement vise à lui conférer une définition légale qui conditionne ce relèvement : – Aux circonstances locales de la prédation. Aujourd’hui, la possibilité d’augmenter le nombre maximal de loups est fixée à l’échelle nationale par la préfète coordinatrice, dans le cas où le nombre est atteint avant la fin de l’année civile. Cet amendement vise à adapter le nombre de loups pouvant être abattus aux circonstances locales. Ainsi, quand le préfet d’un département situé dans un nouveau front de colonisation constatera une recrudescence de la prédation sur une ou plusieurs exploitations, il le signalera à la préfète coordinatrice qui pourra, afin de limiter ces dommages précis, relever le nombre de loups pouvant être abattus afin de remédier précisément à cette prédation. – Cette possibilité de dérogation reste strictement encadrée par le critère de maintien de l’espèce dans un état de conservation favorable. "
CD560,,Rejeté,Article 14,Première délibération,Roseren Xavier rapporteur,,Développement durable,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-DVP/CD560,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419865B2632P0D1N000560.xml,"I. – À la première phrase de l’alinéa 6, substituer aux mots : « du loup » les mots :« de l’espèce ».II. – À la même phrase du même alinéa, supprimer les mots :« en principe ». ",Amendement rédactionnel.
CD561,,Rejeté,Article 14,Première délibération,Roseren Xavier rapporteur,,Développement durable,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-DVP/CD561,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419865B2632P0D1N000561.xml,"Après l’alinéa 6, insérer l’alinéa suivant : « L’arrêté définit les conditions dans lesquelles le représentant de l’État dans le département peut autoriser tout éleveur exploitant à titre individuel ou sous forme sociétaire, tout propriétaire public ou privé d’une exploitation agricole d’élevage mettant en valeur des surfaces pâturées, ou tout mandataire désigné par lui, participant aux opérations de gestion destinées à lutter contre la prédation des troupeaux, à utiliser des appareils monoculaires ou binoculaires thermiques, à l’exclusion des appareils qui peuvent être mis en œuvre sans l’aide des mains dont les monoculaires équipés d’un adaptateur leur permettant d’être fixé sur une lunette de tir, sous réserve d’être titulaire d’un permis de chasser valide, d’avoir suivi une formation préalable auprès de l’Office français de la biodiversité et d’avoir préalablement participé à une opération encadrée par un ou plusieurs lieutenants de de louveterie. L’autorisation est délivrée pour une durée de trente jours, et se limite au périmètre de la commune où l’opération encadrée par un ou plusieurs lieutenants de louveterie a eu lieu, ainsi qu’à ses communes limitrophes. ","Cet amendement vise à ouvrir la possibilité aux seuls titulaires d’un permis de chasse d’utiliser des lunette thermiques afin de procéder à des tirs de loups dans le seul objectif de défendre leurs troupeaux. Ce moyen d’assistance est déjà autorisé pour la chasse et la destruction des espèces d’animaux classées comme susceptibles d’occasionner des dégâts. A droit constant, seuls les lieutenants de louveterie et les agents de l’OFB peuvent l’utiliser. Le présent amendement propose d’étendre son utilisation aux éleveurs titulaires d’un permis de chasse, sous réserve de satisfaire plusieurs conditions :Avoir suivi une formation préalable auprès de l'OFB ; Avoir préalablement participé à une opération encadrée par des lieutenants de louveterie. L'autorisation sera restreinte dans le temps et dans l'espace : Sa validité sera de trente jours ; Sa validité se limite à la commune dans laquelle l'éleveur a participé à l'opération encadrée par les lieutenants de louveterie, ainsi qu'à ses communes voisines. "
CD562,,Retiré,Article 14,Première délibération,Roseren Xavier rapporteur,,Développement durable,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-DVP/CD562,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419865B2632P0D1N000562.xml,"Après l’alinéa 6, insérer l’alinéa suivant : « L’arrêté précise les conditions dans lesquelles le préfet de département définit, après accord du préfet coordonnateur sur le loup, les communes revêtant le caractère de zone difficilement protégeable, en raison caractéristiques topographiques et écologiques des milieux exploités par les troupeaux empêchant la mise en œuvre de moyens de protection efficace des troupeaux d’ovins et de caprins. »","Cet amendement vise à conférer une base légale aux zones difficilement protégeables (ZDP), qui recensent les zones dans lesquelles les pâturages d’ovins et de caprins sont où les tirs de défense et de prélèvement du loup ne sont plus conditionnés par l’engagement de mettre en œuvre de mesures de protection des troupeaux. Les zones difficilement protégeables bénéficient du même régime juridique que les élevages protégés, en raison de leurs caractéristiques géographiques : ils sont souvent situés sur des terrains de montagne où la mise en place de clôtures est inopérante.L’objectif de cet amendement est de permettre au préfet de définir des zones difficilement protégeables afin de ne pas imposer les mêmes exigences de protection sans tenir compte des spécificités des pâturages de montagnards, pour lutter efficacement contre la prédation lupine. "
CD563,,Adopté,Article 14,Première délibération,Roseren Xavier rapporteur,,Développement durable,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-DVP/CD563,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419865B2632P0D1N000563.xml,"Après l’alinéa 7, insérer l’alinéa suivant : « I bis. – Les tirs d’effarouchement et de défense ne peuvent être interdits dans les espaces protégés mentionnés aux articles L. 331‑1, L. 332‑1 et L. 341‑1, à l’exception des cœurs de parcs nationaux définis à l’article L. 331‑2. »","Cet amendement vise à remédier à l’inégalité à laquelle sont confrontés les éleveurs situés dans les Réserves naturelles et Parcs nationaux, en prévoyant d’autoriser les tirs d’effarouchement et de défense. L’amendement exclut cependant les cœurs de parcs nationaux, dont la réglementation peut interdire totalement la chasse et la destruction d’espèces."
CD571,,Adopté,Article 14,Première délibération,Roseren Xavier rapporteur,,Développement durable,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-DVP/CD571,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419865B2632P0D1N000571.xml,"Après l’alinéa 4, insérer l’alinéa suivant : « Les attaques et dommages causés par le loup sont constatés sur place par un agent habilité ou par voie électronique. L’arrêté précise les conditions dans lesquelles le constat peut être réalisé par l’éleveur. »",Cet amendement prévoit que le constat de dommages dus à la prédation du loup puisse être réalisé de manière électronique. L’objectif est de permettre de réaliser les constats plus rapidement. Cette amélioration a pour effet de faciliter les démarches d’indemnisation. 
CD572,,Rejeté,Article 14,Première délibération,Roseren Xavier rapporteur,,Développement durable,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-DVP/CD572,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419865B2632P0D1N000572.xml,"Après l’alinéa 14, insérer les trois alinéas suivants :« 3° Après le neuvième alinéa, sont insérés deux alinéas ainsi rédigés : « Aux seules fins de protection des personnes et des élevages, le représentant de l’État dans le département peut autoriser, pour une durée ne pouvant excéder trente jours, des lieutenants de louveterie à procéder à la destruction de chiens en état de divagation ayant causé des dommages graves aux troupeaux ou étant susceptibles d’en causer lorsque des circonstances de temps et de lieu le justifient et qu’aucune autre mesure de capture ne peut être mise en œuvre dans un délai raisonnable.« La destruction d’un chien errant fait l’objet d’une déclaration immédiate auprès du représentant de l’État dans le département. » »","Cet amendement vise à autoriser les lieutenants de louveterie à défendre les troupeaux contre les chiens errants en cas de dommages graves dus à la pression de prédation qu’ils entraînent sur les troupeaux. Cette autorisation ne peut excéder trente jours, et ne peut intervenir que lorsque leur capture est impossible. C’est un amendement d’équilibre qui vise à défendre les éleveurs qui subissent les mêmes dommages que les attaques de loup, mais qui ne peuvent pas se défendre car les lieutenants de louveterie ne peuvent intervenir en présence de chiens errants."
CD573,,Adopté,Article 14,Première délibération,Roseren Xavier rapporteur,,Développement durable,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-DVP/CD573,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419865B2632P0D1N000573.xml,"Après l’alinéa 11, insérer les quatre alinéas suivants :« III bis. – Après l’article L. 427‑1, il est inséré un article L. 427‑1‑1 ainsi rédigé :« Art. L. 427‑1-1. – Par dérogation aux dispositions mentionnées à l’article L. 123‑19‑1, les actes administratifs pris par le représentant de l’État dans le département sont dispensés de consultation préalable du public lorsqu’ils visent à autoriser l’intervention des lieutenants de louveterie, dès lors qu’elle vise à répondre à une situation d’urgence ou à prévenir des dommages graves causés aux activités agricoles ou forestières.« En application de l’alinéa précédent, un arrêté du représentant de l’État dans le département peut définir, pour une durée ne pouvant excéder une année civile, les conditions, communes et modalités d’intervention des lieutenants de louveterie.« Les autorisations prises par le représentant de l’État dans le département sur le fondement du présent article sont publiées sur le site internet de la préfecture. » »",Objet : dispenser de consultation préalable du public les autorisations d’intervention des louvetiers délivrées par les préfets. Cet amendement vise à dispenser de consultation du public préalable les arrêtés pris par les préfets pour autoriser l’intervention des lieutenants de louveterie. Cet amendement vise à rendre les procédures administratives plus rapides afin de les rendre plus efficaces pour les éleveurs. Cette dispense est strictement encadrée : Le préfet devra justifier une situation d'urgence ou de dommages graves causés aux activités agricoles ou forestières ; L'arrêté ne pourra pas durer plus d'une année civile et sera circonscrit aux communes particulièrement exposées et sur lesquelles ont été constatés des dommages.
CD574,,Non renseigné,Article 14,Première délibération,Falcon Frédéric,"  M. Vos, M. Blairy, Mme Bouquin, M. Dutremble, M. Evrard, M. Guibert, M. Houssin, M. Humbert, Mme Lechanteux, M. David Magnier, M. Marchio, M. Markowsky, M. Meurin, Mme Roullaud, Mme Sabatini et M. Schreck",Développement durable,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-DVP/CD574,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419865B2632P0D1N000574.xml,,
CD6,,Non renseigné,Article 14,Première délibération,Pantel Sophie,,Développement durable,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-DVP/CD6,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419865B2632P0D1N000006.xml,,
CD7,,Non renseigné,Article 14,Première délibération,Pantel Sophie,,Développement durable,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-DVP/CD7,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419865B2632P0D1N000007.xml,,
CD70,,Non renseigné,Article 14,Première délibération,Voynet Dominique,"  Mme Pochon, Mme Belluco, M. Nicolas Bonnet, M. Thierry, Mme Ozenne, M. Biteau, M. Raux, M. Amirshahi, Mme Arrighi, Mme Autain, Mme Balage El Mariky, M. Ben Cheikh, M. Arnaud Bonnet, Mme Chatelain, M. Corbière, M. Davi, M. Duplessy, M. Fournier, Mme Garin, M. Damien Girard, M. Gustave, Mme Catherine Hervieu, M. Iordanoff, Mme Laernoes, M. Lahais, M. Lucas-Lundy, M. Peytavie, Mme Regol, M. Roumégas, Mme Sandrine Rousseau, M. Ruffin, Mme Sas, Mme Sebaihi, Mme Simonnet, Mme Taillé-Polian et M. Tavernier",Développement durable,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-DVP/CD70,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419865B2632P0D1N000070.xml,,
CD71,,Non renseigné,Article 14,Première délibération,Voynet Dominique,"  Mme Pochon, Mme Belluco, M. Nicolas Bonnet, M. Thierry, Mme Ozenne, M. Biteau, M. Raux, M. Amirshahi, Mme Arrighi, Mme Autain, Mme Balage El Mariky, M. Ben Cheikh, M. Arnaud Bonnet, Mme Chatelain, M. Corbière, M. Davi, M. Duplessy, M. Fournier, Mme Garin, M. Damien Girard, M. Gustave, Mme Catherine Hervieu, M. Iordanoff, Mme Laernoes, M. Lahais, M. Lucas-Lundy, M. Peytavie, Mme Regol, M. Roumégas, Mme Sandrine Rousseau, M. Ruffin, Mme Sas, Mme Sebaihi, Mme Simonnet, Mme Taillé-Polian et M. Tavernier",Développement durable,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-DVP/CD71,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419865B2632P0D1N000071.xml,,
CD75,,Tombé,Article 14,Première délibération,Bonnivard Émilie,,Développement durable,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-DVP/CD75,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419865B2632P0D1N000075.xml,"Après le mot : « compte », rédiger ainsi la fin de l’alinéa 5 : « du seuil de viabilité de l’espèce définit par le plan national d’actions sur le loup conformément aux articles L. 411‑1, L. 411‑2 et L. 411‑3 du code de l’environnement. »",Le présent amendement vise à inscrire dans la loi la prise en compte du seuil de viabilité de l’espèce définit par le Plan National d’Actions sur le loup (PNA) dans le calcul du nombre de spécimens pouvant être prélevé annuellement.
CD77,,Non soutenu,Article 14,Première délibération,Tivoli Lionel,,Développement durable,1ère lecture (1ère assemblée saisie),https://www.assemblee-nationale.fr/dyn/17/amendements/2632/CION-DVP/CD77,https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L17PO419865B2632P0D1N000077.xml,"À la première phrase de l’alinéa 3, substituer aux mots : « le maintien dans un état de conservation favorable », les mots : « la préservation ». ",amendement rédactionnel.
